1500568816.6={"ticker":{"high":310,"low":280,"last":305,"vol":41287.911418,"buy":304,"sell":304.99}}
1500568846.84={"ticker":{"high":310,"low":280,"last":305,"vol":41287.911418,"buy":304,"sell":304.99}}
1500568877.11={"ticker":{"high":310,"low":280,"last":305,"vol":41281.911418,"buy":304,"sell":304.99}}
1500568907.51={"ticker":{"high":310,"low":280,"last":304.99,"vol":41287.555878,"buy":304.99,"sell":305}}
1500568937.71={"ticker":{"high":310,"low":280,"last":304.99,"vol":41301.341803,"buy":304,"sell":304.99}}
1500568967.97={"ticker":{"high":310,"low":280,"last":303,"vol":41328.63765,"buy":303,"sell":304.99}}
1500568998.22={"ticker":{"high":310,"low":280,"last":304.99,"vol":41363.9701,"buy":303,"sell":304.94}}
1500569028.51={"ticker":{"high":310,"low":280,"last":304.99,"vol":41363.9701,"buy":303,"sell":304.94}}
1500569058.7={"ticker":{"high":310,"low":280,"last":304.99,"vol":41363.9701,"buy":303,"sell":304.94}}
1500569088.93={"ticker":{"high":310,"low":280,"last":304.99,"vol":41363.9701,"buy":303.05,"sell":304.55}}
1500569119.14={"ticker":{"high":310,"low":280,"last":304.55,"vol":41420.124721,"buy":303.06,"sell":304.55}}
1500569149.41={"ticker":{"high":310,"low":280,"last":304.54,"vol":41543.142787,"buy":303.06,"sell":304.54}}
1500569179.76={"ticker":{"high":310,"low":280,"last":304.55,"vol":41635.948108,"buy":304.55,"sell":305}}
1500569210.01={"ticker":{"high":310,"low":280,"last":304.54,"vol":41640.41945,"buy":303.1,"sell":304.54}}
1500569240.22={"ticker":{"high":310,"low":280,"last":304.54,"vol":41648.323458,"buy":304.54,"sell":305}}
1500569270.54={"ticker":{"high":310,"low":280,"last":304.54,"vol":41648.323458,"buy":304.54,"sell":305}}
1500569300.77={"ticker":{"high":310,"low":280,"last":304.54,"vol":41648.323458,"buy":303.1,"sell":304.54}}
1500569330.93={"ticker":{"high":310,"low":280,"last":304.54,"vol":41650.682823,"buy":303.1,"sell":305}}
1500569361.2={"ticker":{"high":310,"low":280,"last":304.5,"vol":41654.689391,"buy":303.13,"sell":304.99}}
1500569391.48={"ticker":{"high":310,"low":280,"last":304.5,"vol":41654.689391,"buy":303.13,"sell":304.97}}
1500569421.76={"ticker":{"high":310,"low":280,"last":304.5,"vol":41654.689391,"buy":303.13,"sell":304.97}}
1500569451.99={"ticker":{"high":310,"low":280,"last":304.97,"vol":41688.62838,"buy":303.11,"sell":304.97}}
1500569482.28={"ticker":{"high":310,"low":280,"last":304.97,"vol":41688.62838,"buy":303.11,"sell":304.95}}
1500569512.53={"ticker":{"high":310,"low":280,"last":304.97,"vol":41688.62838,"buy":303.11,"sell":304.95}}
1500569542.79={"ticker":{"high":310,"low":280,"last":303.11,"vol":41709.813861,"buy":302.06,"sell":303.11}}
1500569573.01={"ticker":{"high":310,"low":280,"last":303.11,"vol":41714.444377,"buy":302.06,"sell":303.11}}
1500569603.21={"ticker":{"high":310,"low":280,"last":303.11,"vol":41812.831761,"buy":302.06,"sell":303.11}}
1500569633.5={"ticker":{"high":310,"low":280,"last":303.11,"vol":41812.493871,"buy":302.06,"sell":303.11}}
